class,accuracy,precision,FPR,FNR,support
24,0.9027777777746432,0.9291666666627951,0.31481481480898493,0.04700854700834612,234
9,0.8541666666637009,0.8079470198621991,0.1895424836588919,0.09629629629558299,135
30,0.8333333333304398,0.8241758241667673,0.08839779005476024,0.29906542055795265,107
5,0.8263888888860195,0.7525773195798703,0.12698412698345513,0.26262626262360983,99
14,0.8402777777748601,0.7142857142729593,0.07339449541250737,0.4285714285653061,70
8,0.8472222222192806,0.7272727272595042,0.06849315068461875,0.42028985506637256,69
7,0.8854166666635923,0.939393939365473,0.008849557522084738,0.4999999999919355,62
18,0.8263888888860195,0.55102040815202,0.09442060085796386,0.5090909090816529,55
1,0.899305555552433,0.749999999984375,0.051063829787016755,0.3207547169750801,53
28,0.9548611111077957,0.8431372548854288,0.033333333333194444,0.10416666666449653,48
31,0.9479166666633754,0.8837209302120066,0.02083333333324653,0.20833333332899306,48
19,0.9513888888855855,0.8499999999787501,0.02439024390233988,0.19047619047165534,42
17,0.9687499999966364,0.939393939365473,0.007999999999968,0.18421052631094184,38
4,0.8888888888858025,0.8571428570204082,0.0039840637450040475,0.8378378378151936,37
6,0.9548611111077957,0.8387096773922997,0.01968503937000124,0.23529411764013844,34
16,0.9652777777744261,0.9230769230414201,0.007812499999969483,0.24999999999218753,32
13,0.9340277777745346,0.7142857142346939,0.015209125475227342,0.599999999976,25
12,0.940972222218955,0.7857142856581633,0.011406844106420507,0.5599999999776,25
3,0.940972222218955,0.7692307691715976,0.01136363636359332,0.5833333333090278,24
22,0.9791666666632668,0.928571428505102,0.0037037037036899865,0.2777777777623457,18
15,0.9340277777745346,0.0,0.0037037037036899865,0.9999999999444444,18
23,0.9791666666632668,0.8666666666088889,0.007380073800710775,0.235294117633218,17
11,0.9756944444410567,0.9999999998888889,0.0,0.43749999997265626,16
10,0.982638888885477,0.999999999875,0.0,0.3846153845857988,13
25,0.9722222222188465,0.9999999989999999,0.0,0.8888888887901234,9
33,0.9965277777743177,0.0,0.0,0.9999999989999999,1
21,0.9965277777743177,0.0,0.0,0.9999999989999999,1
27,0.9965277777743177,0.0,0.0,0.9999999989999999,1
2,0.9999999999965278,0.0,0.0,0.0,0
20,0.9999999999965278,0.0,0.0,0.0,0
26,0.9999999999965278,0.0,0.0,0.0,0
29,0.9999999999965278,0.0,0.0,0.0,0
32,0.9999999999965278,0.0,0.0,0.0,0
